Username;Nome;Sexo;Data_Nascimento;Ocupação;Assinatura;Total_Gasto 
Neaude1978;"  Mr 	bailey Glover  ";masculino;01/12/1979;Analista de Inteligência de Mercado;01/10/2021;1257.45
Maress39;"Mrs  	 isabella   Fowler";feminino;04/08/1960;Arquiteto de Dados;24/03/2020;771.99
Kehonell;" Mrs Chloe 	Kirby  ";feminino;28/06/1949;Analista de RH;07/06/2020;1021.77
Thimpay;" Mrs louise 	Clark  ";feminino;07/01/1995;Arquiteto de Dados;03/11/2020;234.76
Giall1985;"Mr Harrison 	 Bowen";feminino;04/04/1987;Engenheiro de Dados;25/03/2020;628.07
Neave1959;"Mrs anna 	     Sharp";feminino;02/02/1970;Engenheiro de Dados;18/09/2020;140.04
Nicterims1993;"  Mrs 	Daisy Anderson  ";masculino;05/07/1985;Engenheiro de Dados;29/01/2021;2417.81
Fouldlairity;"Ms zoe 	Peacock";masculino;03/06/1964;Analista Financeiro;04/12/2020;51.95
Ancomettiody;" Mrs Libby 	Williams  ";feminino;04/09/1974;Estatístico;21/11/2020;130.73
Onswis;"Ms Katie 	Mmtcalfe";feminino;01/07/1983;Engenheiro de Machine Learning;27/02/2021;1778.72
Majeappre;"Mr Luca 	Vaughan";feminino;03/01/1971;Gerente de Tecnologia;15/07/2022;1034.74
Theired;"Mr Henry 	Haynes";masculino;06/09/1951;Analista de Inteligência de Mercado;23/12/2022;1320.04
Botter;"Mr Noah 	Walton";feminino;09/03/1991;Web Designer;26/07/2022;3464.72

